nom;nuit_occ;jour_occ;soir_occ;sem_occ;we_occ;tx_penurie;ete_occ;autsaison_occ;zone
027-Odysseum;53.47;47.33;46.06;49.76;42.85;9.02;61.99;53.662;Périphérie
028-Saint-Denis;63.02;64.18;61.18;62.78;63.75;12.35;60.76;64.878;Centre
029-Richter;37.88;43.89;45.65;44.03;34.83;2.06;59.27;39.886;Périphérie
030-Charles Flahault;41.63;49.13;50.0;47.43;43.15;4.38;50.88;43.370000000000005;Centre
031-Voltaire;30.78;42.81;37.7;36.56;39.55;1.32;48.62;34.134;Centre
032-Prés d Arènes;36.03;44.95;44.44;41.71;44.83;6.16;32.23;40.044;Périphérie
033-Garcia Lorca;35.76;44.78;42.17;42.79;39.23;2.62;38.45;38.004000000000005;Périphérie
034-Vert Bois;84.08;78.81;89.44;82.33;89.52;34.4;80.69;85.152;Périphérie
035-Malbosc;48.4;48.05;49.92;50.75;41.06;3.85;44.65;40.062;Périphérie
036-Occitanie;60.43;60.11;69.08;64.4;55.32;1.62;71.47;52.48;Périphérie
037-FacdesSciences;66.36;62.56;79.23;71.35;52.58;20.36;100.0;77.356;Périphérie
038-Fac de Lettres;70.76;66.71;80.32;71.57;73.14;30.63;53.84;72.99000000000001;Périphérie
039-Aiguelongue;42.66;49.87;48.56;48.83;41.86;4.37;45.16;43.324;Centre
040-Jeu de Mail des Abbés;38.3;41.95;44.01;40.29;45.67;2.68;43.49;40.896;Centre
041-Euromédecine;59.1;56.91;60.95;59.92;55.05;7.27;57.23;56.290000000000006;Périphérie
042-Marie Caizergues;47.34;53.57;56.13;52.32;51.1;5.97;38.17;52.374;Centre
043-Sabines;60.9;56.52;57.07;60.94;51.86;10.88;68.26;53.775999999999996;Périphérie
044-Celleneuve;64.79;64.87;67.66;64.11;70.69;12.3;69.02;66.42999999999999;Périphérie
045-Jardin de la Lironde;48.5;48.89;50.36;49.62;46.3;5.63;70.53;51.364;Périphérie
046-Père Soulas;36.92;50.21;54.0;47.67;45.87;2.27;50.46;42.372;Périphérie
047-Place Viala;37.42;55.32;66.79;54.49;45.12;8.32;55.29;52.444;Périphérie
048-Hôtel du Département;74.46;71.32;76.49;73.59;75.67;22.23;74.98;74.008;Périphérie
049-Tonnelles;70.12;67.31;71.73;68.46;73.16;16.14;76.38;71.054;Périphérie
050-Parvis Jules Ferry - Gare Saint-Roch;49.49;49.14;43.78;46.13;51.61;5.22;51.38;48.07000000000001;Centre
051-Pont de Lattes - Gare Saint-Roch;82.4;82.54;80.44;81.03;85.74;22.55;77.44;83.006;Centre
053-Deux Ponts - Gare Saint-Roch;51.56;57.86;53.74;55.04;55.3;5.82;49.36;53.678;Centre
054-Providence - Ovalie;58.74;59.44;62.07;61.39;57.77;12.28;73.08;57.614;Périphérie
055-Pérols Etang de l Or;43.14;49.67;46.59;47.26;42.44;0.04;66.92;45.815999999999995;Périphérie
056-Albert 1er - Cathédrale;75.49;68.46;66.44;67.95;81.34;13.43;74.44;71.22200000000001;Centre
057-Saint-Guilhem - Courreau;65.36;68.66;58.99;63.34;72.01;11.23;73.17;66.44800000000001;Centre
059-Sud De France;74.29;68.79;70.12;71.22;72.92;24.44;81.55;70.826;Périphérie
060-Comedie Baudin;62.79;63.95;61.63;63.33;61.96;8.54;63.38;;Centre
061-Jean de Beins;72.93;72.6;71.23;71.4;74.85;2.94;80.35;;Centre
